risk_id,application_id,risk_category,risk_title,risk_owner,inherent_likelihood,inherent_impact,inherent_score,residual_score,risk_status,identified_date,target_treatment_date
RISK0001,APP010,Architecture Obsolescence,Privileged access not reviewed,D. Brown,2,3,7,5,Open,2025-01-26,2026-05-30
RISK0002,APP031,Architecture Obsolescence,Unsupported component exposure,R. Patel,5,5,25,23,Open,2025-11-01,2026-01-18
RISK0003,APP016,Cyber Security,Unsupported component exposure,L. Thompson,4,1,8,3,Closed,2025-10-17,2026-05-14
RISK0004,APP021,Change Failure,Excessive incident recurrence,L. Thompson,3,2,11,4,Open,2025-12-10,2026-06-15
RISK0005,APP020,Compliance,Unsupported component exposure,M. Chen,4,3,12,10,Closed,2025-04-20,2026-05-10
RISK0006,APP017,Access Management,Excessive incident recurrence,R. Patel,2,3,6,1,Treatment in progress,2026-03-03,2026-05-20
RISK0007,APP020,Third Party,Unsupported component exposure,R. Patel,5,5,25,15,Open,2025-03-01,2026-08-16
RISK0008,APP007,Change Failure,Supplier assurance gap,S. Williams,5,2,12,6,Open,2025-09-16,2026-05-06
RISK0009,APP017,Third Party,Privileged access not reviewed,A. Singh,1,1,6,1,Open,2026-01-30,2026-02-03
RISK0010,APP017,Architecture Obsolescence,Privileged access not reviewed,M. Chen,2,4,12,4,Open,2026-04-29,2026-08-15
RISK0011,APP010,Operational Resilience,Data quality issue in executive reporting,R. Patel,5,1,7,1,Open,2025-06-07,2026-04-04
RISK0012,APP003,Data Privacy,Supplier assurance gap,P. Kumar,3,2,11,6,Treatment in progress,2026-05-14,2026-06-08
RISK0013,APP010,Cyber Security,Incomplete DR evidence,D. Brown,2,2,5,1,Treatment in progress,2026-02-15,2026-06-21
RISK0014,APP016,Data Quality,Privileged access not reviewed,K. Smith,3,2,11,8,Open,2025-04-13,2026-07-29
RISK0015,APP030,Cyber Security,Control testing failure,L. Thompson,3,3,10,5,Open,2025-05-23,2026-08-10
RISK0016,APP005,Data Quality,Sensitive data handling gap,D. Brown,3,3,14,4,Open,2025-03-01,2026-08-13
RISK0017,APP017,Data Privacy,Data quality issue in executive reporting,D. Brown,2,5,12,10,Open,2025-08-12,2026-06-05
RISK0018,APP033,Third Party,Privileged access not reviewed,L. Thompson,1,4,8,3,Open,2025-09-24,2026-08-25
RISK0019,APP035,Access Management,Supplier assurance gap,M. Chen,2,3,9,6,Open,2025-09-17,2026-03-21
RISK0020,APP027,Architecture Obsolescence,Incomplete DR evidence,S. Williams,3,4,17,11,Treatment in progress,2025-12-07,2026-08-29
RISK0021,APP025,Data Quality,Sensitive data handling gap,A. Singh,2,5,14,8,Open,2025-05-27,2026-02-23
