action_id,source_type,linked_record_id,action_title,action_owner,due_date,status,severity
ACT0001,Control Test,CTRL0134,Improve monitoring alert,L. Thompson,2026-05-27,Overdue,Medium
ACT0002,Control Test,CTRL0006,Close audit finding,D. Brown,2026-03-04,Closed,Low
ACT0003,Control Test,CTRL0027,Improve monitoring alert,M. Chen,2026-03-21,Closed,Low
ACT0004,Risk,RISK0106,Resolve recurring incident driver,R. Patel,2026-04-10,In progress,Medium
ACT0005,Incident PIR,INC00776,Update control evidence,R. Patel,2026-03-16,Closed,Low
ACT0006,Control Test,CTRL0173,Close audit finding,J. Nguyen,2026-04-05,In progress,High
ACT0007,Risk,RISK0086,Improve monitoring alert,L. Thompson,2026-01-22,In progress,Medium
ACT0008,Incident PIR,INC00526,Update control evidence,S. Williams,2026-05-28,Closed,Critical
ACT0009,Incident PIR,INC00248,Close audit finding,J. Nguyen,2026-05-23,Overdue,Medium
ACT0010,Control Test,CTRL0120,Update control evidence,D. Brown,2026-06-06,Closed,Critical
ACT0011,Incident PIR,INC00704,Improve monitoring alert,S. Williams,2026-06-13,Open,High
ACT0012,Control Test,CTRL0054,Review access group,P. Kumar,2026-07-15,Closed,Medium
ACT0013,Incident PIR,INC00905,Review access group,R. Patel,2026-07-01,Open,Critical
ACT0014,Risk,RISK0013,Update risk treatment plan,M. Chen,2026-07-02,Overdue,Critical
ACT0015,Control Test,CTRL0062,Review access group,K. Smith,2026-06-01,Open,High
ACT0016,Control Test,CTRL0104,Review access group,A. Singh,2026-06-14,In progress,Low
ACT0017,Risk,RISK0093,Update risk treatment plan,D. Brown,2026-01-20,Closed,Low
ACT0018,Risk,RISK0060,Update control evidence,A. Singh,2026-05-09,Closed,High
ACT0019,Control Test,CTRL0007,Complete remediation plan,D. Brown,2026-07-27,Open,Low
ACT0020,Risk,RISK0071,Update control evidence,S. Williams,2026-02-02,Closed,Low
ACT0021,Incident PIR,INC00484,Improve monitoring alert,J. Nguyen,2026-06-13,Overdue,Critical
ACT0022,Audit Finding,INC00939,Review access group,L. Thompson,2026-01-01,Closed,Medium
ACT0023,Incident PIR,INC00138,Complete remediation plan,M. Chen,2026-01-15,Open,Medium
ACT0024,Risk,RISK0070,Resolve recurring incident driver,P. Kumar,2026-03-16,Open,Low
ACT0025,Incident PIR,INC00859,Resolve recurring incident driver,S. Williams,2026-01-07,Overdue,High
ACT0026,Control Test,CTRL0056,Close audit finding,M. Chen,2026-06-05,Overdue,High
ACT0027,Audit Finding,INC00282,Complete remediation plan,M. Chen,2026-03-27,In progress,Medium
ACT0028,Risk,RISK0090,Improve monitoring alert,R. Patel,2026-07-10,Closed,Low
ACT0029,Risk,RISK0107,Validate DR evidence,S. Williams,2026-04-04,Overdue,Low
ACT0030,Audit Finding,INC00439,Update control evidence,P. Kumar,2026-04-22,Closed,Critical
ACT0031,Risk,RISK0096,Update control evidence,A. Singh,2026-02-02,In progress,High
ACT0032,Risk,RISK0067,Resolve recurring incident driver,N. Wilson,2026-02-22,In progress,Critical
ACT0033,Risk,RISK0050,Complete remediation plan,D. Brown,2026-02-09,Overdue,High
ACT0034,Risk,RISK0023,Validate DR evidence,D. Brown,2026-07-16,Open,Critical
ACT0035,Audit Finding,INC00522,Complete remediation plan,K. Smith,2026-05-21,Open,Low
ACT0036,Audit Finding,INC00782,Close audit finding,N. Wilson,2026-05-24,Overdue,High
ACT0037,Incident PIR,INC00298,Complete remediation plan,S. Williams,2026-07-11,Closed,Medium
ACT0038,Risk,RISK0102,Review access group,D. Brown,2026-05-16,Closed,Medium
ACT0039,Control Test,CTRL0123,Close audit finding,L. Thompson,2026-08-09,Overdue,Critical
ACT0040,Control Test,CTRL0060,Complete remediation plan,A. Singh,2026-06-15,In progress,Critical
ACT0041,Incident PIR,INC00463,Update control evidence,P. Kumar,2026-06-26,Overdue,Medium
ACT0042,Risk,RISK0103,Close audit finding,A. Singh,2026-03-16,In progress,Low
ACT0043,Incident PIR,INC00597,Resolve recurring incident driver,N. Wilson,2026-07-26,Open,Low
ACT0044,Incident PIR,INC00851,Update risk treatment plan,M. Chen,2026-05-22,Overdue,Medium
ACT0045,Control Test,CTRL0138,Resolve recurring incident driver,N. Wilson,2026-07-20,In progress,High
ACT0046,Control Test,CTRL0085,Update control evidence,P. Kumar,2026-05-25,Open,Medium
