incident_id,application_id,opened_date,resolved_date,priority,severity,incident_category,caused_by_change,sla_breached,business_impact_hours
INC00001,APP030,2026-02-28,2026-03-01,1,Medium,Availability,N,Y,1.9
INC00002,APP037,2025-11-26,2025-11-27,1,Major,Access,N,N,4.0
INC00003,APP032,2025-07-15,2025-07-16,4,Low,Availability,N,N,0.6
INC00004,APP032,2025-07-02,2025-07-04,2,Major,Change-related,Y,N,6.0
INC00005,APP020,2026-04-16,2026-04-21,3,Low,Data,N,Y,1.5
INC00006,APP030,2026-02-16,2026-02-17,3,Low,Availability,N,N,0.7
INC00007,APP026,2025-12-21,2026-01-03,3,Low,Security,Y,Y,2.1
INC00008,APP037,2026-05-19,2026-05-22,4,Medium,Security,Y,Y,2.9
INC00009,APP035,2026-04-22,2026-05-13,4,Medium,Change-related,N,N,2.7
INC00010,APP008,2026-06-03,2026-06-04,4,Medium,Access,N,Y,2.5
INC00011,APP038,2026-02-13,2026-02-18,2,Medium,Data,Y,N,10.4
INC00012,APP002,2025-12-22,2025-12-30,3,Medium,Change-related,N,N,0.8
INC00013,APP008,2025-08-20,2025-08-23,3,Medium,Performance,N,Y,0.5
INC00014,APP027,2025-09-25,2025-09-27,1,High,Availability,Y,N,5.0
INC00015,APP021,2025-09-11,2025-09-16,3,Low,Data,Y,Y,0.6
INC00016,APP039,2026-04-27,2026-05-02,2,Low,Availability,N,Y,4.2
INC00017,APP036,2026-01-25,2026-01-25,2,Low,Security,N,Y,3.6
INC00018,APP038,2025-08-21,2025-09-11,3,Medium,Access,N,N,0.3
INC00019,APP033,2025-10-13,2025-10-14,4,Low,Integration,N,Y,1.6
INC00020,APP028,2026-04-11,2026-04-11,3,Low,Change-related,N,N,2.9
INC00021,APP001,2025-07-31,2025-08-13,4,Low,Integration,N,N,1.1
INC00022,APP023,2026-05-20,2026-05-25,2,Medium,Availability,N,Y,4.0
INC00023,APP026,2025-09-01,2025-09-22,4,Low,Data,N,N,1.5
INC00024,APP021,2025-12-23,2026-01-05,3,Low,Performance,N,N,0.6
INC00025,APP039,2025-12-16,2025-12-24,1,High,Security,Y,N,0.5
INC00026,APP001,2025-09-27,2025-10-10,3,Low,Integration,Y,N,2.0
INC00027,APP035,2025-07-16,2025-07-29,4,Medium,Access,N,N,1.1
INC00028,APP012,2025-07-05,2025-07-07,2,High,Data,Y,Y,9.0
INC00029,APP018,2025-12-31,2026-01-05,2,Medium,Change-related,N,Y,11.8
INC00030,APP024,2025-07-19,2025-07-21,3,Medium,Performance,N,Y,2.6
INC00031,APP037,2026-03-14,2026-04-04,3,Medium,Security,N,Y,1.8
INC00032,APP005,2025-09-04,2025-09-06,3,Low,Performance,Y,N,2.0
INC00033,APP040,2025-11-07,2025-11-20,3,Medium,Data,Y,N,1.3
INC00034,APP027,2025-11-18,2025-11-23,2,Low,Data,N,Y,10.7
INC00035,APP015,2025-07-25,2025-08-02,3,Low,Access,Y,N,0.6
INC00036,APP006,2026-04-19,2026-04-21,4,Low,Availability,N,Y,0.5
INC00037,APP020,2025-08-02,2025-08-03,3,Medium,Data,N,Y,1.8
INC00038,APP022,2025-11-06,2025-11-19,3,Medium,Access,Y,N,1.6
